t0 b0 RR (seg) b1 t1 
    2: 01,036 N 0,683 N 2: 01,719
    2: 01.719 N 0.672 N 2: 02.392
    2: 02.392 N 0.700 N 2: 03.092
    2: 03.092 N 0.706 N 2: 03.797
    2: 03.797 N 0.692 N 2: 04.489
    2: 04,489 N 0,719 N 2: 05,208
    2: 05.208 N 0.733 N 2: 05.942
    2: 05.942 N 0.747 N 2: 06.689
    2: 06.689 N 0.431 V 2: 07.119
    2: 07.119 V 0.942 N 2: 08.061
    2: 08.061 N 0.681 N 2: 08.742
    2: 08.742 N 0.686 N 2: 09.428
    2: 09.428 N 0.694 N 2: 10.122
    2: 10,122 N 0,731 N 2: 10,853
    2: 10,853 N 0,733 N 2: 11,586
    2: 11.586 N 0.733 N 2: 12.319
    2: 12.319 N 0.703 N 2: 13.022
    2: 13,022 N 0,700 N 2: 13,722
    2: 13,722 N 0,703 N 2: 14,425
    2: 14.425 N 0.694 N 2: 15.119
    2: 15.119 N 0.683 N 2: 15.803
    2: 15.803 N 0.708 N 2: 16.511
    2: 16,511 N 0,739 N 2: 17,250
    2: 17.250 N 0.744 N 2: 17.994
    2: 17,994 N 0,736 N 2: 18,731
    2: 18,731 N 0,708 N 2: 19,439
    2: 19,439 N 0,694 N 2: 20,133
    2: 20,133 N 0,678 N 2: 20,811
    2: 20,811 N 0,714 N 2: 21,525
    2: 21,525 N 0,717 N 2: 22,242
    2: 22.242 N 0.736 N 2: 22.978
    2: 22,978 N 0,733 N 2: 23,711
    2: 23,711 N 0,736 N 2: 24,447
    2: 24,447 N 0,711 N 2: 25,158
    2: 25,158 N 0,708 N 2: 25,867
    2: 25,867 N 0,714 N 2: 26,581
    2: 26,581 N 0,697 N 2: 27,278
    2: 27,278 N 0,697 N 2: 27,975
    2: 27,975 N 0,739 N 2: 28,714
    2: 28,714 N 0,772 N 2: 29,486
    2: 29,486 N 0,731 N 2: 30,217
    2: 30,217 N 0,708 N 2: 30,925
    2: 30,925 N 0,708 N 2: 31,633
    2: 31,633 N 0,692 N 2: 32,325
    2: 32,325 N 0,706 N 2: 33,031
    2: 33,031 N 0,717 N 2: 33,747
    2: 33,747 N 0,717 N 2: 34,464
    2: 34,464 N 0,739 N 2: 35,203
    2: 35,203 N 0,742 N 2: 35,944
    2: 35,944 N 0,758 N 2: 36,703
    2: 36.703 N 0,706 N 2: 37.408
    2: 37.408 N 0.697 N 2: 38.106
    2: 38,106 N 0,686 N 2: 38,792
    2: 38,792 N 0,414 V 2: 39,206
    2: 39,206 V 0,978 N 2: 40,183
    2: 40.183 N 0.764 N 2: 40.947
    2: 40,947 N 0,747 N 2: 41,694
    2: 41,694 N 0,731 N 2: 42,425
    2: 42,425 N 0,714 N 2: 43,139
    2: 43,139 N 0,708 N 2: 43,847
    2: 43,847 N 0,706 N 2: 44,553
    2: 44,553 N 0,706 N 2: 45,258
    2: 45,258 N 0,692 N 2: 45,950
    2: 45,950 N 0,725 N 2: 46,675
    2: 46,675 N 0,742 N 2: 47,417
    2: 47,417 N 0,758 N 2: 48,175
    2: 48,175 N 0,736 N 2: 48,911
    2: 48,911 N 0,706 N 2: 49,617
    2: 49,617 N 0,692 N 2: 50.308
    2: 50.308 N 0.689 N 2: 50.997
    2: 50,997 N 0,722 N 2: 51,719
    2: 51,719 N 0,728 N 2: 52,447
    2: 52,447 N 0,744 N 2: 53,192
    2: 53,1992 N 0,722 N 2: 53,914
    2: 53,914 N 0,742 N 2: 54,656
    2: 54.656 N 0.703 N 2: 55.358
    2: 55,358 N 0,703 N 2: 56,061
    2: 56,061 N 0,703 N 2: 56,764
    2: 56,764 N 0,697 N 2: 57,461
    2: 57,461 N 0,692 N 2: 58,153
    2: 58,153 N 0,736 N 2: 58,889
    2: 58,889 N 0,761 N 2: 59,650
    2: 59.650 N 0.731 N 3: 00.381
    3: 00.381 N 0.694 N 3: 01.075
    3: 01.075 N 0.694 N 3: 01.769
    3: 01,769 N 0,692 N 3: 02,461
    3: 02,461 N 0,686 N 3: 03,147
    3: 03.147 N 0.711 N 3: 03.858
    3: 03,858 N 0,708 N 3: 04,567
    3: 04,567 N 0,728 N 3: 05,294
    3: 05.294 N 0.447 V 3: 05.742
    3: 05.742 V 1.003 N 3: 06.744
    3: 06,744 N 0,719 N 3: 07,464
    3: 07.464 N 0.692 N 3: 08.156
    3: 08.156 N 0.672 N 3: 08.828
    3: 08,828 N 0,686 N 3: 09,514
    3: 09,514 N 0,694 N 3: 10,208
    3: 10,208 N 0,736 N 3: 10,944
    3: 10,944 N 0,747 N 3: 11,692
    3: 11,692 N 0,722 N 3: 12,414
    3: 12.414 N 0.703 N 3: 13.117
    3: 13.117 N 0.694 N 3: 13.811
    3: 13,811 N 0,708 N 3: 14,519
    3: 14,519 N 0,683 N 3: 15,203
    3: 15,203 N 0,694 N 3: 15,897
    3: 15,897 N 0,714 N 3: 16,611
    3: 16,611 N 0,739 N 3: 17,350
    3: 17,350 N 0,736 N 3: 18,086
    3: 18,086 N 0,744 N 3: 18,831
    3: 18,831 N 0,700 N 3: 19,531
    3: 19,531 N 0,689 N 3: 20,219
    3: 20,219 N 0,686 N 3: 20,906
    3: 20.906 N 0.442 V 3: 21.347
    3: 21,347 V 1,003 N 3: 22,350
    3: 22,350 N 0,753 N 3: 23,103
    3: 23.103 N 0.725 N 3: 23.828
    3: 23,828 N 0,736 N 3: 24,564
    3: 24,564 N 0,722 N 3: 25,286
    3: 25,286 N 0,711 N 3: 25,997
    3: 25,997 N 0,389 V 3: 26,386
    3: 26.386 V 1.000 N 3: 27.386
    3: 27,386 N 0,717 N 3: 28,103
    3: 28,103 N 0,739 N 3: 28,842
    3: 28,842 N 0,767 N 3: 29,608
    3: 29.608 N 0.744 N 3: 30.353
    3: 30,353 N 0,711 N 3: 31,064
    3: 31,064 N 0,692 N 3: 31,756
    3: 31,756 N 0,700 N 3: 32,456
    3: 32,456 N 0,700 N 3: 33,156
    3: 33,156 N 0,722 N 3: 33,878
    3: 33,878 N 0,725 N 3: 34,603
    3: 34,603 N 0,747 N 3: 35,350
    3: 35,350 N 0,725 N 3: 36,075
    3: 36,075 N 0,744 N 3: 36,819
    3: 36,819 N 0,714 N 3: 37,533
    3: 37,533 N 0,692 N 3: 38,225
    3: 38,225 N 0,683 N 3: 38,908
    3: 38,908 N 0,708 N 3: 39,617
    3: 39,617 N 0,706 N 3: 40,322
    3: 40,322 N 0,744 N 3: 41,067
    3: 41,067 N 0,756 N 3: 41,822
    3: 41,822 N 0,733 N 3: 42,556
    3: 42,556 N 0,692 N 3: 43,247
    3: 43,247 N 0,708 N 3: 43,956
    3: 43,956 N 0,717 N 3: 44,672
    3: 44,672 N 0,689 N 3: 45,361
    3: 45,361 N 0,692 N 3: 46,053
    3: 46.053 N 0.728 N 3: 46.781
    3: 46,781 N 0,736 N 3: 47,517
    3: 47,517 N 0,736 N 3: 48,253
    3: 48,253 N 0,739 N 3: 48,992
    3: 48,992 N 0,703 N 3: 49,694
    3: 49,694 N 0,678 N 3: 50,372
    3: 50,372 N 0,689 N 3: 51,061
    3: 51,061 N 0,728 N 3: 51,789
    3: 51,789 N 0,719 N 3: 52,508
    3: 52.508 N 0.742 N 3: 53.250
    3: 53,250 N 0,725 N 3: 53,975
    3: 53,975 N 0,728 N 3: 54,703
    3: 54,703 N 0,703 N 3: 55,406
    3: 55,406 N 0,714 N 3: 56,1919
    3: 56.119 N 0.706 N 3: 56.825
    3: 56,825 N 0,692 N 3: 57,517
    3: 57,517 N 0,706 N 3: 58,222
    3: 58,222 N 0,753 N 3: 58,975
    3: 58,975 N 0,761 N 3: 59,736
    3: 59,736 N 0,736 N 4: 00,472
    4: 00.472 N 0.697 N 4: 01.169
    4: 01.169 N 0.697 N 4: 01.867
    4: 01.867 N 0.683 N 4: 02.550
    4: 02.550 N 0.706 N 4: 03.256
    4: 03,256 N 0,722 N 4: 03,978
    4: 03.978 N 0.728 N 4: 04.706
    4: 04.706 N 0,753 N 4: 05,458
    4: 05,458 N 0,739 N 4: 06,197
    4: 06.197 N 0.750 N 4: 06.947
    4: 06.947 N 0.711 N 4: 07.658
    4: 07.658 N 0.697 N 4: 08.356
    4: 08,356 N 0,689 N 4: 09,044
    4: 09.044 N 0.711 N 4: 09.756
    4: 09,7575 N 0,722 N 4: 10,478
    4: 10,478 N 0,756 N 4: 11,233
    4: 11,233 N 0,753 N 4: 11,986
    4: 11.986 N 0.739 N 4: 12.725
    4: 12,725 N 0,700 N 4: 13,425
    4: 13,425 N 0,703 N 4: 14,128
    4: 14,1228 N 0,722 N 4: 14,850
    4: 14,850 N 0,706 N 4: 15,556
    4: 15,556 N 0,706 N 4: 16,261
    4: 16,261 N 0,744 N 4: 17,006
    4: 17,006 N 0,747 N 4: 17,753
    4: 17.753 N 0.747 N 4: 18.500
    4: 18.500 N 0.750 N 4: 19.250
    4: 19,250 N 0,703 N 4: 19,953
    4: 19,953 N 0,683 N 4: 20,636
    4: 20,636 N 0,708 N 4: 21,344
    4: 21,344 N 0,750 N 4: 22,094
    4: 22,094 N 0,736 N 4: 22,831
    4: 22,831 N 0,739 N 4: 23,569
    4: 23,569 N 0,753 N 4: 24,322
    4: 24,322 N 0,744 N 4: 25,067
    4: 25,067 N 0,714 N 4: 25,781
    4: 25,781 N 0,708 N 4: 26,489
    4: 26,489 N 0,703 N 4: 27,192
    4: 27,1992 N 0,711 N 4: 27.903
    4: 27.903 N 0.728 N 4: 28.631
    4: 28,631 N 0,772 N 4: 29,403
    4: 29.403 N 0.753 N 4: 30.156
    4: 30,156 N 0,739 N 4: 30,894
    4: 30,894 N 0,708 N 4: 31.603
    4: 31.603 N 0.703 N 4: 32.306
    4: 32.306 N 0.689 N 4: 32.994
    4: 32,994 N 0,731 N 4: 33,725
    4: 33,725 N 0,744 N 4: 34,469
    4: 34,469 N 0,744 N 4: 35,214
    4: 35,214 N 0,739 N 4: 35,953
    4: 35,953 N 0,761 N 4: 36,714
    4: 36,714 N 0,733 N 4: 37,447
    4: 37,447 N 0,706 N 4: 38,153
    4: 38.153 N 0.689 N 4: 38.842
    4: 38,842 N 0,700 N 4: 39,542
    4: 39,542 N 0,719 N 4: 40,261
    4: 40,261 N 0,753 N 4: 41,014
    4: 41,014 N 0,764 N 4: 41,778
    4: 41,778 N 0,722 N 4: 42,500
    4: 42,500 N 0,717 N 4: 43,217
    4: 43,217 N 0,433 V 4: 43,650
    4: 43,650 V 0,986 N 4: 44,636
    4: 44,636 N 0,697 N 4: 45,333
    4: 45,333 N 0,703 N 4: 46,036
    4: 46,036 N 0,725 N 4: 46,761
    4: 46,761 N 0,742 N 4: 47,503
    4: 47.503 N 0.728 N 4: 48.231
    4: 48,231 N 0,728 N 4: 48,958
    4: 48,958 N 0,703 N 4: 49,661
    4: 49,661 N 0,694 N 4: 50,356
    4: 50,356 N 0,675 N 4: 51,031
    4: 51,031 N 0,711 N 4: 51,742
    4: 51,742 N 0,739 N 4: 52,481
    4: 52,481 N 0,739 N 4: 53,219
    4: 53,219 N 0,717 N 4: 53,936
    4: 53,936 N 0,733 N 4: 54,669
    4: 54,669 N 0,714 N 4: 55,383
    4: 55,383 N 0,697 N 4: 56,081
    4: 56,081 N 0,703 N 4: 56,783
    4: 56,783 N 0,689 N 4: 57,472
    4: 57,472 N 0,706 N 4: 58,178
    4: 58,178 N 0,719 N 4: 58,897
    4: 58,897 N 0,758 N 4: 59,656
    4: 59.656 N 0.417 V 5: 00.072
